distribution,order_size,condition_index,seed,order,exact_distance,exact_runtime,s_shape_distance,s_shape_gap,s_shape_runtime,return_distance,return_gap,return_runtime,largest_gap_distance,largest_gap_gap,largest_gap_runtime,dqn_completed,dqn_truncated,dqn_all_items_collected,dqn_all_picked_no_finish,dqn_distance,dqn_partial_distance,dqn_gap,dqn_steps,dqn_valid_actions,dqn_invalid_actions,dqn_invalid_action_rate,dqn_items_collected,dqn_items_remaining,dqn_collection_fraction,dqn_runtime,dqn_improvement_vs_s_shape,dqn_improvement_vs_return,dqn_improvement_vs_largest_gap
uniform,5,1,500000,"[(1, 13), (7, 15), (8, 3), (9, 15), (12, 7)]",60.0,0.0007259580306708813,82.0,36.666666666666664,8.720764890313148e-05,90.0,50.0,8.116569370031357e-05,60.0,0.0,8.116709068417549e-05,True,False,True,False,90.0,90.0,50.0,90,90,0,0.0,5,0,1.0,0.01174374995753169,-9.75609756097561,0.0,-50.0
uniform,5,2,500001,"[(2, 13), (4, 9), (7, 9), (9, 15), (11, 13)]",64.0,0.0005897502414882183,82.0,28.125,8.137477561831474e-05,84.0,31.25,7.700035348534584e-05,64.0,0.0,7.750000804662704e-05,True,False,True,False,84.0,84.0,31.25,84,84,0,0.0,5,0,1.0,0.009258500300347805,-2.4390243902439024,0.0,-31.25
uniform,5,3,500002,"[(4, 11), (6, 7), (6, 13), (7, 13), (8, 15)]",74.0,0.0005798749625682831,82.0,10.81081081081081,7.854169234633446e-05,80.0,8.108108108108109,7.650023326277733e-05,78.0,5.405405405405405,7.766624912619591e-05,True,False,True,False,80.0,80.0,8.108108108108109,80,80,0,0.0,5,0,1.0,0.008772875182330608,2.4390243902439024,0.0,-2.564102564102564
uniform,5,4,500003,"[(2, 1), (2, 11), (7, 15), (9, 1), (9, 5)]",68.0,0.0005866657011210918,82.0,20.588235294117645,7.962528616189957e-05,84.0,23.52941176470588,7.67093151807785e-05,68.0,0.0,7.816683501005173e-05,True,False,True,False,84.0,84.0,23.52941176470588,84,84,0,0.0,5,0,1.0,0.009264166932553053,-2.4390243902439024,0.0,-23.52941176470588
uniform,5,5,500004,"[(2, 1), (2, 13), (6, 3), (7, 5), (7, 15)]",76.0,0.0005947500467300415,108.0,42.10526315789473,8.041691035032272e-05,78.0,2.631578947368421,7.712515071034431e-05,84.0,10.526315789473683,7.820827886462212e-05,True,False,True,False,78.0,78.0,2.631578947368421,78,78,0,0.0,5,0,1.0,0.008566709235310555,27.77777777777778,0.0,7.142857142857142
uniform,5,6,500005,"[(1, 7), (2, 9), (7, 13), (9, 15), (12, 1)]",70.0,0.0005880407989025116,108.0,54.285714285714285,7.88331963121891e-05,92.0,31.428571428571427,7.587485015392303e-05,74.0,5.714285714285714,7.699988782405853e-05,True,False,True,False,92.0,92.0,31.428571428571427,92,92,0,0.0,5,0,1.0,0.010113291908055544,14.814814814814813,0.0,-24.324324324324326
uniform,5,7,500006,"[(1, 5), (6, 3), (7, 1), (8, 15), (12, 1)]",70.0,0.0005714581348001957,82.0,17.142857142857142,7.724994793534279e-05,84.0,20.0,7.591629400849342e-05,70.0,0.0,7.537472993135452e-05,True,False,True,False,84.0,84.0,20.0,84,84,0,0.0,5,0,1.0,0.009203500114381313,-2.4390243902439024,0.0,-20.0
uniform,5,8,500007,"[(4, 9), (7, 9), (8, 9), (9, 5), (12, 9)]",44.0,0.0003720410168170929,44.0,0.0,7.737521082162857e-05,60.0,36.36363636363637,7.529091089963913e-05,44.0,0.0,7.324991747736931e-05,True,False,True,False,60.0,60.0,36.36363636363637,60,60,0,0.0,5,0,1.0,0.006568999961018562,-36.36363636363637,0.0,-36.36363636363637
uniform,5,9,500008,"[(2, 13), (3, 5), (4, 7), (10, 3), (11, 7)]",62.0,0.0005069579929113388,78.0,25.806451612903224,7.966673001646996e-05,78.0,25.806451612903224,7.512513548135757e-05,70.0,12.903225806451612,7.566716521978378e-05,True,False,True,False,78.0,78.0,25.806451612903224,78,78,0,0.0,5,0,1.0,0.008508082944899797,0.0,0.0,-11.428571428571429
uniform,5,10,500009,"[(1, 7), (2, 3), (9, 5), (10, 1), (11, 15)]",70.0,0.0005782921798527241,108.0,54.285714285714285,7.791584357619286e-05,96.0,37.142857142857146,7.60830007493496e-05,70.0,0.0,7.650023326277733e-05,True,False,True,False,96.0,96.0,37.142857142857146,96,96,0,0.0,5,0,1.0,0.010486250277608633,11.11111111111111,0.0,-37.142857142857146
uniform,5,11,500010,"[(5, 3), (5, 11), (6, 1), (8, 3), (11, 3)]",58.0,0.00044791679829359055,74.0,27.586206896551722,7.724994793534279e-05,66.0,13.793103448275861,7.454119622707367e-05,64.0,10.344827586206897,7.54576176404953e-05,False,True,False,False,nan,250.0,nan,250,250,0,0.0,1,4,0.2,0.027116624638438225,nan,nan,nan
