distribution,order_size,condition_index,seed,method,completed,distance,optimality_gap,runtime
uniform,5,1,500000,Exact,True,60.0,0.0,0.0007259580306708813
uniform,5,1,500000,S-shape,True,82.0,36.666666666666664,8.720764890313148e-05
uniform,5,1,500000,Return,True,90.0,50.0,8.116569370031357e-05
uniform,5,1,500000,Largest Gap,True,60.0,0.0,8.116709068417549e-05
uniform,5,1,500000,DQN,True,90.0,50.0,0.01174374995753169
uniform,5,2,500001,Exact,True,64.0,0.0,0.0005897502414882183
uniform,5,2,500001,S-shape,True,82.0,28.125,8.137477561831474e-05
uniform,5,2,500001,Return,True,84.0,31.25,7.700035348534584e-05
uniform,5,2,500001,Largest Gap,True,64.0,0.0,7.750000804662704e-05
uniform,5,2,500001,DQN,True,84.0,31.25,0.009258500300347805
uniform,5,3,500002,Exact,True,74.0,0.0,0.0005798749625682831
uniform,5,3,500002,S-shape,True,82.0,10.81081081081081,7.854169234633446e-05
uniform,5,3,500002,Return,True,80.0,8.108108108108109,7.650023326277733e-05
uniform,5,3,500002,Largest Gap,True,78.0,5.405405405405405,7.766624912619591e-05
uniform,5,3,500002,DQN,True,80.0,8.108108108108109,0.008772875182330608
uniform,5,4,500003,Exact,True,68.0,0.0,0.0005866657011210918
uniform,5,4,500003,S-shape,True,82.0,20.588235294117645,7.962528616189957e-05
uniform,5,4,500003,Return,True,84.0,23.52941176470588,7.67093151807785e-05
uniform,5,4,500003,Largest Gap,True,68.0,0.0,7.816683501005173e-05
uniform,5,4,500003,DQN,True,84.0,23.52941176470588,0.009264166932553053
uniform,5,5,500004,Exact,True,76.0,0.0,0.0005947500467300415
uniform,5,5,500004,S-shape,True,108.0,42.10526315789473,8.041691035032272e-05
uniform,5,5,500004,Return,True,78.0,2.631578947368421,7.712515071034431e-05
uniform,5,5,500004,Largest Gap,True,84.0,10.526315789473683,7.820827886462212e-05
uniform,5,5,500004,DQN,True,78.0,2.631578947368421,0.008566709235310555
uniform,5,6,500005,Exact,True,70.0,0.0,0.0005880407989025116
uniform,5,6,500005,S-shape,True,108.0,54.285714285714285,7.88331963121891e-05
uniform,5,6,500005,Return,True,92.0,31.428571428571427,7.587485015392303e-05
uniform,5,6,500005,Largest Gap,True,74.0,5.714285714285714,7.699988782405853e-05
uniform,5,6,500005,DQN,True,92.0,31.428571428571427,0.010113291908055544
uniform,5,7,500006,Exact,True,70.0,0.0,0.0005714581348001957
uniform,5,7,500006,S-shape,True,82.0,17.142857142857142,7.724994793534279e-05
uniform,5,7,500006,Return,True,84.0,20.0,7.591629400849342e-05
uniform,5,7,500006,Largest Gap,True,70.0,0.0,7.537472993135452e-05
uniform,5,7,500006,DQN,True,84.0,20.0,0.009203500114381313
uniform,5,8,500007,Exact,True,44.0,0.0,0.0003720410168170929
uniform,5,8,500007,S-shape,True,44.0,0.0,7.737521082162857e-05
uniform,5,8,500007,Return,True,60.0,36.36363636363637,7.529091089963913e-05
uniform,5,8,500007,Largest Gap,True,44.0,0.0,7.324991747736931e-05
uniform,5,8,500007,DQN,True,60.0,36.36363636363637,0.006568999961018562
uniform,5,9,500008,Exact,True,62.0,0.0,0.0005069579929113388
uniform,5,9,500008,S-shape,True,78.0,25.806451612903224,7.966673001646996e-05
uniform,5,9,500008,Return,True,78.0,25.806451612903224,7.512513548135757e-05
uniform,5,9,500008,Largest Gap,True,70.0,12.903225806451612,7.566716521978378e-05
uniform,5,9,500008,DQN,True,78.0,25.806451612903224,0.008508082944899797
uniform,5,10,500009,Exact,True,70.0,0.0,0.0005782921798527241
uniform,5,10,500009,S-shape,True,108.0,54.285714285714285,7.791584357619286e-05
uniform,5,10,500009,Return,True,96.0,37.142857142857146,7.60830007493496e-05
uniform,5,10,500009,Largest Gap,True,70.0,0.0,7.650023326277733e-05
uniform,5,10,500009,DQN,True,96.0,37.142857142857146,0.010486250277608633
uniform,5,11,500010,Exact,True,58.0,0.0,0.00044791679829359055
uniform,5,11,500010,S-shape,True,74.0,27.586206896551722,7.724994793534279e-05
uniform,5,11,500010,Return,True,66.0,13.793103448275861,7.454119622707367e-05
uniform,5,11,500010,Largest Gap,True,64.0,10.344827586206897,7.54576176404953e-05
uniform,5,11,500010,DQN,False,nan,nan,0.027116624638438225
uniform,5,12,500011,Exact,True,52.0,0.0,0.00045170774683356285
uniform,5,12,500011,S-shape,True,74.0,42.30769230769231,7.766671478748322e-05
uniform,5,12,500011,Return,True,60.0,15.384615384615385,7.654214277863503e-05
uniform,5,12,500011,Largest Gap,True,52.0,0.0,7.724994793534279e-05
uniform,5,12,500011,DQN,True,60.0,15.384615384615385,0.006496916990727186
uniform,5,13,500012,Exact,True,60.0,0.0,0.0005890829488635063
uniform,5,13,500012,S-shape,True,78.0,30.0,8.199969306588173e-05
uniform,5,13,500012,Return,True,80.0,33.33333333333333,7.666600868105888e-05
uniform,5,13,500012,Largest Gap,True,70.0,16.666666666666664,8.075032383203506e-05
uniform,5,13,500012,DQN,True,80.0,33.33333333333333,0.008759084157645702
uniform,5,14,500013,Exact,True,64.0,0.0,0.0006059999577701092
uniform,5,14,500013,S-shape,True,82.0,28.125,8.091703057289124e-05
uniform,5,14,500013,Return,True,112.0,75.0,7.804110646247864e-05
uniform,5,14,500013,Largest Gap,True,70.0,9.375,7.929094135761261e-05
uniform,5,14,500013,DQN,True,112.0,75.0,0.012053667102009058
uniform,5,15,500014,Exact,True,58.0,0.0,0.00045570870861411095
uniform,5,15,500014,S-shape,True,74.0,27.586206896551722,7.991679012775421e-05
uniform,5,15,500014,Return,True,92.0,58.620689655172406,7.7791977673769e-05
uniform,5,15,500014,Largest Gap,True,60.0,3.4482758620689653,7.841596379876137e-05
uniform,5,15,500014,DQN,False,nan,nan,0.026632833294570446
uniform,5,16,500015,Exact,True,68.0,0.0,0.0005753752775490284
uniform,5,16,500015,S-shape,True,108.0,58.82352941176471,7.804110646247864e-05
uniform,5,16,500015,Return,True,114.0,67.64705882352942,7.645785808563232e-05
uniform,5,16,500015,Largest Gap,True,76.0,11.76470588235294,7.66250304877758e-05
uniform,5,16,500015,DQN,True,114.0,67.64705882352942,0.012336791027337313
uniform,5,17,500016,Exact,True,72.0,0.0,0.0006102500483393669
uniform,5,17,500016,S-shape,True,108.0,50.0,8.150003850460052e-05
uniform,5,17,500016,Return,True,106.0,47.22222222222222,7.708370685577393e-05
uniform,5,17,500016,Largest Gap,True,80.0,11.11111111111111,7.787486538290977e-05
uniform,5,17,500016,DQN,True,106.0,47.22222222222222,0.011582083068788052
uniform,5,18,500017,Exact,True,86.0,0.0,0.0005817501805722713
uniform,5,18,500017,S-shape,True,108.0,25.581395348837212,7.870793342590332e-05
uniform,5,18,500017,Return,True,96.0,11.627906976744185,7.637497037649155e-05
