distribution,order_size,condition_index,seed,heuristic,exact_distance,dqn_distance,heuristic_distance,dqn_minus_heuristic_distance,dqn_improvement_percent,dqn_optimality_gap,dqn_better_than_heuristic,same_distance
uniform,5,1,500000,S-shape,60.0,90.0,82.0,8.0,-9.75609756097561,50.0,False,False
uniform,5,1,500000,Return,60.0,90.0,90.0,0.0,0.0,50.0,False,True
uniform,5,1,500000,Largest Gap,60.0,90.0,60.0,30.0,-50.0,50.0,False,False
uniform,5,2,500001,S-shape,64.0,84.0,82.0,2.0,-2.4390243902439024,31.25,False,False
uniform,5,2,500001,Return,64.0,84.0,84.0,0.0,0.0,31.25,False,True
uniform,5,2,500001,Largest Gap,64.0,84.0,64.0,20.0,-31.25,31.25,False,False
uniform,5,3,500002,S-shape,74.0,80.0,82.0,-2.0,2.4390243902439024,8.108108108108109,True,False
uniform,5,3,500002,Return,74.0,80.0,80.0,0.0,0.0,8.108108108108109,False,True
uniform,5,3,500002,Largest Gap,74.0,80.0,78.0,2.0,-2.564102564102564,8.108108108108109,False,False
uniform,5,4,500003,S-shape,68.0,84.0,82.0,2.0,-2.4390243902439024,23.52941176470588,False,False
uniform,5,4,500003,Return,68.0,84.0,84.0,0.0,0.0,23.52941176470588,False,True
uniform,5,4,500003,Largest Gap,68.0,84.0,68.0,16.0,-23.52941176470588,23.52941176470588,False,False
uniform,5,5,500004,S-shape,76.0,78.0,108.0,-30.0,27.77777777777778,2.631578947368421,True,False
uniform,5,5,500004,Return,76.0,78.0,78.0,0.0,0.0,2.631578947368421,False,True
uniform,5,5,500004,Largest Gap,76.0,78.0,84.0,-6.0,7.142857142857142,2.631578947368421,True,False
uniform,5,6,500005,S-shape,70.0,92.0,108.0,-16.0,14.814814814814813,31.428571428571427,True,False
uniform,5,6,500005,Return,70.0,92.0,92.0,0.0,0.0,31.428571428571427,False,True
uniform,5,6,500005,Largest Gap,70.0,92.0,74.0,18.0,-24.324324324324326,31.428571428571427,False,False
uniform,5,7,500006,S-shape,70.0,84.0,82.0,2.0,-2.4390243902439024,20.0,False,False
uniform,5,7,500006,Return,70.0,84.0,84.0,0.0,0.0,20.0,False,True
uniform,5,7,500006,Largest Gap,70.0,84.0,70.0,14.0,-20.0,20.0,False,False
uniform,5,8,500007,S-shape,44.0,60.0,44.0,16.0,-36.36363636363637,36.36363636363637,False,False
uniform,5,8,500007,Return,44.0,60.0,60.0,0.0,0.0,36.36363636363637,False,True
uniform,5,8,500007,Largest Gap,44.0,60.0,44.0,16.0,-36.36363636363637,36.36363636363637,False,False
uniform,5,9,500008,S-shape,62.0,78.0,78.0,0.0,0.0,25.806451612903224,False,True
uniform,5,9,500008,Return,62.0,78.0,78.0,0.0,0.0,25.806451612903224,False,True
uniform,5,9,500008,Largest Gap,62.0,78.0,70.0,8.0,-11.428571428571429,25.806451612903224,False,False
uniform,5,10,500009,S-shape,70.0,96.0,108.0,-12.0,11.11111111111111,37.142857142857146,True,False
uniform,5,10,500009,Return,70.0,96.0,96.0,0.0,0.0,37.142857142857146,False,True
uniform,5,10,500009,Largest Gap,70.0,96.0,70.0,26.0,-37.142857142857146,37.142857142857146,False,False
uniform,5,12,500011,S-shape,52.0,60.0,74.0,-14.0,18.91891891891892,15.384615384615385,True,False
uniform,5,12,500011,Return,52.0,60.0,60.0,0.0,0.0,15.384615384615385,False,True
uniform,5,12,500011,Largest Gap,52.0,60.0,52.0,8.0,-15.384615384615385,15.384615384615385,False,False
uniform,5,13,500012,S-shape,60.0,80.0,78.0,2.0,-2.564102564102564,33.33333333333333,False,False
uniform,5,13,500012,Return,60.0,80.0,80.0,0.0,0.0,33.33333333333333,False,True
uniform,5,13,500012,Largest Gap,60.0,80.0,70.0,10.0,-14.285714285714285,33.33333333333333,False,False
uniform,5,14,500013,S-shape,64.0,112.0,82.0,30.0,-36.58536585365854,75.0,False,False
uniform,5,14,500013,Return,64.0,112.0,112.0,0.0,0.0,75.0,False,True
uniform,5,14,500013,Largest Gap,64.0,112.0,70.0,42.0,-60.0,75.0,False,False
uniform,5,16,500015,S-shape,68.0,114.0,108.0,6.0,-5.555555555555555,67.64705882352942,False,False
uniform,5,16,500015,Return,68.0,114.0,114.0,0.0,0.0,67.64705882352942,False,True
uniform,5,16,500015,Largest Gap,68.0,114.0,76.0,38.0,-50.0,67.64705882352942,False,False
uniform,5,17,500016,S-shape,72.0,106.0,108.0,-2.0,1.8518518518518516,47.22222222222222,True,False
uniform,5,17,500016,Return,72.0,106.0,106.0,0.0,0.0,47.22222222222222,False,True
uniform,5,17,500016,Largest Gap,72.0,106.0,80.0,26.0,-32.5,47.22222222222222,False,False
uniform,5,18,500017,S-shape,86.0,96.0,108.0,-12.0,11.11111111111111,11.627906976744185,True,False
uniform,5,18,500017,Return,86.0,96.0,96.0,0.0,0.0,11.627906976744185,False,True
uniform,5,18,500017,Largest Gap,86.0,96.0,88.0,8.0,-9.090909090909092,11.627906976744185,False,False
uniform,5,20,500019,S-shape,68.0,80.0,78.0,2.0,-2.564102564102564,17.647058823529413,False,False
uniform,5,20,500019,Return,68.0,80.0,80.0,0.0,0.0,17.647058823529413,False,True
uniform,5,20,500019,Largest Gap,68.0,80.0,70.0,10.0,-14.285714285714285,17.647058823529413,False,False
uniform,5,21,500020,S-shape,66.0,86.0,108.0,-22.0,20.37037037037037,30.303030303030305,True,False
uniform,5,21,500020,Return,66.0,86.0,86.0,0.0,0.0,30.303030303030305,False,True
uniform,5,21,500020,Largest Gap,66.0,86.0,72.0,14.0,-19.444444444444446,30.303030303030305,False,False
uniform,5,24,500023,S-shape,70.0,80.0,82.0,-2.0,2.4390243902439024,14.285714285714285,True,False
uniform,5,24,500023,Return,70.0,80.0,80.0,0.0,0.0,14.285714285714285,False,True
uniform,5,24,500023,Largest Gap,70.0,80.0,74.0,6.0,-8.108108108108109,14.285714285714285,False,False
uniform,5,25,500024,S-shape,64.0,98.0,82.0,16.0,-19.51219512195122,53.125,False,False
uniform,5,25,500024,Return,64.0,98.0,98.0,0.0,0.0,53.125,False,True
uniform,5,25,500024,Largest Gap,64.0,98.0,64.0,34.0,-53.125,53.125,False,False
uniform,5,26,500025,S-shape,62.0,66.0,82.0,-16.0,19.51219512195122,6.451612903225806,True,False
uniform,5,26,500025,Return,62.0,66.0,66.0,0.0,0.0,6.451612903225806,False,True
uniform,5,26,500025,Largest Gap,62.0,66.0,62.0,4.0,-6.451612903225806,6.451612903225806,False,False
uniform,5,27,500026,S-shape,58.0,62.0,78.0,-16.0,20.51282051282051,6.896551724137931,True,False
uniform,5,27,500026,Return,58.0,62.0,62.0,0.0,0.0,6.896551724137931,False,True
uniform,5,27,500026,Largest Gap,58.0,62.0,68.0,-6.0,8.823529411764707,6.896551724137931,True,False
uniform,5,28,500027,S-shape,56.0,60.0,74.0,-14.0,18.91891891891892,7.142857142857142,True,False
uniform,5,28,500027,Return,56.0,60.0,60.0,0.0,0.0,7.142857142857142,False,True
uniform,5,28,500027,Largest Gap,56.0,60.0,64.0,-4.0,6.25,7.142857142857142,True,False
uniform,5,30,500029,S-shape,50.0,54.0,70.0,-16.0,22.857142857142858,8.0,True,False
uniform,5,30,500029,Return,50.0,54.0,54.0,0.0,0.0,8.0,False,True
uniform,5,30,500029,Largest Gap,50.0,54.0,52.0,2.0,-3.8461538461538463,8.0,False,False
uniform,5,31,500030,S-shape,70.0,92.0,78.0,14.0,-17.94871794871795,31.428571428571427,False,False
uniform,5,31,500030,Return,70.0,92.0,92.0,0.0,0.0,31.428571428571427,False,True
uniform,5,31,500030,Largest Gap,70.0,92.0,72.0,20.0,-27.77777777777778,31.428571428571427,False,False
uniform,5,32,500031,S-shape,76.0,94.0,82.0,12.0,-14.634146341463413,23.684210526315788,False,False
uniform,5,32,500031,Return,76.0,94.0,94.0,0.0,0.0,23.684210526315788,False,True
uniform,5,32,500031,Largest Gap,76.0,94.0,76.0,18.0,-23.684210526315788,23.684210526315788,False,False
uniform,5,33,500032,S-shape,72.0,100.0,82.0,18.0,-21.951219512195124,38.88888888888889,False,False
uniform,5,33,500032,Return,72.0,100.0,100.0,0.0,0.0,38.88888888888889,False,True
uniform,5,33,500032,Largest Gap,72.0,100.0,76.0,24.0,-31.57894736842105,38.88888888888889,False,False
uniform,5,34,500033,S-shape,60.0,70.0,82.0,-12.0,14.634146341463413,16.666666666666664,True,False
uniform,5,34,500033,Return,60.0,70.0,70.0,0.0,0.0,16.666666666666664,False,True
uniform,5,34,500033,Largest Gap,60.0,70.0,60.0,10.0,-16.666666666666664,16.666666666666664,False,False
uniform,5,35,500034,S-shape,66.0,80.0,78.0,2.0,-2.564102564102564,21.21212121212121,False,False
uniform,5,35,500034,Return,66.0,80.0,80.0,0.0,0.0,21.21212121212121,False,True
uniform,5,35,500034,Largest Gap,66.0,80.0,70.0,10.0,-14.285714285714285,21.21212121212121,False,False
uniform,5,36,500035,S-shape,62.0,82.0,104.0,-22.0,21.153846153846153,32.25806451612903,True,False
uniform,5,36,500035,Return,62.0,82.0,82.0,0.0,0.0,32.25806451612903,False,True
uniform,5,36,500035,Largest Gap,62.0,82.0,62.0,20.0,-32.25806451612903,32.25806451612903,False,False
uniform,5,37,500036,S-shape,62.0,100.0,82.0,18.0,-21.951219512195124,61.29032258064516,False,False
uniform,5,37,500036,Return,62.0,100.0,100.0,0.0,0.0,61.29032258064516,False,True
uniform,5,37,500036,Largest Gap,62.0,100.0,74.0,26.0,-35.13513513513514,61.29032258064516,False,False
uniform,5,38,500037,S-shape,64.0,74.0,82.0,-8.0,9.75609756097561,15.625,True,False
uniform,5,38,500037,Return,64.0,74.0,74.0,0.0,0.0,15.625,False,True
uniform,5,38,500037,Largest Gap,64.0,74.0,68.0,6.0,-8.823529411764707,15.625,False,False
uniform,5,40,500039,S-shape,66.0,80.0,108.0,-28.0,25.925925925925924,21.21212121212121,True,False
uniform,5,40,500039,Return,66.0,80.0,80.0,0.0,0.0,21.21212121212121,False,True
uniform,5,40,500039,Largest Gap,66.0,80.0,66.0,14.0,-21.21212121212121,21.21212121212121,False,False
uniform,5,41,500040,S-shape,76.0,102.0,82.0,20.0,-24.390243902439025,34.21052631578947,False,False
uniform,5,41,500040,Return,76.0,102.0,102.0,0.0,0.0,34.21052631578947,False,True
uniform,5,41,500040,Largest Gap,76.0,102.0,82.0,20.0,-24.390243902439025,34.21052631578947,False,False
uniform,5,43,500042,S-shape,60.0,94.0,82.0,12.0,-14.634146341463413,56.666666666666664,False,False
uniform,5,43,500042,Return,60.0,94.0,94.0,0.0,0.0,56.666666666666664,False,True
uniform,5,43,500042,Largest Gap,60.0,94.0,60.0,34.0,-56.666666666666664,56.666666666666664,False,False
uniform,5,44,500043,S-shape,68.0,70.0,82.0,-12.0,14.634146341463413,2.941176470588235,True,False
uniform,5,44,500043,Return,68.0,70.0,70.0,0.0,0.0,2.941176470588235,False,True
uniform,5,44,500043,Largest Gap,68.0,70.0,68.0,2.0,-2.941176470588235,2.941176470588235,False,False
uniform,5,45,500044,S-shape,62.0,88.0,82.0,6.0,-7.317073170731707,41.935483870967744,False,False
uniform,5,45,500044,Return,62.0,88.0,88.0,0.0,0.0,41.935483870967744,False,True
uniform,5,45,500044,Largest Gap,62.0,88.0,62.0,26.0,-41.935483870967744,41.935483870967744,False,False
uniform,5,46,500045,S-shape,66.0,98.0,82.0,16.0,-19.51219512195122,48.484848484848484,False,False
uniform,5,46,500045,Return,66.0,98.0,98.0,0.0,0.0,48.484848484848484,False,True
uniform,5,46,500045,Largest Gap,66.0,98.0,68.0,30.0,-44.11764705882353,48.484848484848484,False,False
uniform,5,47,500046,S-shape,68.0,84.0,104.0,-20.0,19.230769230769234,23.52941176470588,True,False
uniform,5,47,500046,Return,68.0,84.0,84.0,0.0,0.0,23.52941176470588,False,True
uniform,5,47,500046,Largest Gap,68.0,84.0,68.0,16.0,-23.52941176470588,23.52941176470588,False,False
uniform,5,49,500048,S-shape,58.0,78.0,78.0,0.0,0.0,34.48275862068966,False,True
uniform,5,49,500048,Return,58.0,78.0,78.0,0.0,0.0,34.48275862068966,False,True
uniform,5,49,500048,Largest Gap,58.0,78.0,58.0,20.0,-34.48275862068966,34.48275862068966,False,False
uniform,10,1,510000,S-shape,84.0,108.0,108.0,0.0,0.0,28.57142857142857,False,True
uniform,10,1,510000,Return,84.0,108.0,108.0,0.0,0.0,28.57142857142857,False,True
uniform,10,1,510000,Largest Gap,84.0,108.0,92.0,16.0,-17.391304347826086,28.57142857142857,False,False
uniform,10,2,510001,S-shape,76.0,108.0,104.0,4.0,-3.8461538461538463,42.10526315789473,False,False
uniform,10,2,510001,Return,76.0,108.0,108.0,0.0,0.0,42.10526315789473,False,True
uniform,10,2,510001,Largest Gap,76.0,108.0,76.0,32.0,-42.10526315789473,42.10526315789473,False,False
uniform,10,3,510002,S-shape,88.0,102.0,108.0,-6.0,5.555555555555555,15.909090909090908,True,False
uniform,10,3,510002,Return,88.0,102.0,102.0,0.0,0.0,15.909090909090908,False,True
uniform,10,3,510002,Largest Gap,88.0,102.0,104.0,-2.0,1.9230769230769231,15.909090909090908,True,False
uniform,10,4,510003,S-shape,92.0,136.0,134.0,2.0,-1.4925373134328357,47.82608695652174,False,False
uniform,10,4,510003,Return,92.0,136.0,136.0,0.0,0.0,47.82608695652174,False,True
uniform,10,4,510003,Largest Gap,92.0,136.0,92.0,44.0,-47.82608695652174,47.82608695652174,False,False
uniform,10,5,510004,S-shape,82.0,130.0,108.0,22.0,-20.37037037037037,58.536585365853654,False,False
uniform,10,5,510004,Return,82.0,130.0,130.0,0.0,0.0,58.536585365853654,False,True
uniform,10,5,510004,Largest Gap,82.0,130.0,84.0,46.0,-54.761904761904766,58.536585365853654,False,False
uniform,10,6,510005,S-shape,100.0,124.0,108.0,16.0,-14.814814814814813,24.0,False,False
uniform,10,6,510005,Return,100.0,124.0,124.0,0.0,0.0,24.0,False,True
uniform,10,6,510005,Largest Gap,100.0,124.0,104.0,20.0,-19.230769230769234,24.0,False,False
uniform,10,7,510006,S-shape,94.0,118.0,108.0,10.0,-9.25925925925926,25.53191489361702,False,False
uniform,10,7,510006,Return,94.0,118.0,118.0,0.0,0.0,25.53191489361702,False,True
uniform,10,7,510006,Largest Gap,94.0,118.0,96.0,22.0,-22.916666666666664,25.53191489361702,False,False
uniform,10,8,510007,S-shape,102.0,138.0,134.0,4.0,-2.9850746268656714,35.294117647058826,False,False
uniform,10,8,510007,Return,102.0,138.0,138.0,0.0,0.0,35.294117647058826,False,True
uniform,10,8,510007,Largest Gap,102.0,138.0,102.0,36.0,-35.294117647058826,35.294117647058826,False,False
uniform,10,9,510008,S-shape,92.0,116.0,108.0,8.0,-7.4074074074074066,26.08695652173913,False,False
uniform,10,9,510008,Return,92.0,116.0,116.0,0.0,0.0,26.08695652173913,False,True
uniform,10,9,510008,Largest Gap,92.0,116.0,100.0,16.0,-16.0,26.08695652173913,False,False
